31456,"304b","0053",12363,90,"10 03 19 00 0d 88 80 d4 e6 66 00 00 00 25 0c ce 0b e1 00 00 00 00 0c b7 02 fc 00 00 03 64 02 c6 09 ca 09 d6 05 bc 04 33 04 88 04 32 04 79 04 4b 04 88 00 09 04 98 0f ff 00 00 00 12 0c b3 09 54 00 00 00 00 00 00 00 bf 29 a9 00 00 46 89 e2 29 46 a1 fb 63 08 38 f7 c6 32 e3 "
33463,"34cb","00b3",13515,129,"10 03 19 00 0d 88 80 d5 b3 33 00 00 00 b3 01 01 01 01 01 01 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 01 52 a8 77 4a d1 bb 00 bd 0b 0d 45 cb ba ce ff fa cc 52 00 0d 42 03 00 00 f1 08 ff fa 9a b3 00 64 00 00 00 00 a5 51 f6 d7 45 da 78 11 00 01 76 0f f6 c0 45 d9 47 ed 00 01 dc d9 f6 d0 45 c4 ee e5 00 00 87 57 f6 dc 45 c8 e4 d4 00 00 00 00 00 00 00 4a 18 6f 00 40 00 50 17 ba "
40151,"34cb","00b3",13515,231,"10 03 19 00 0d 88 80 d7 cc cd 00 00 00 aa 34 e0 00 0b 35 e6 00 0b 36 b5 b0 09 3e 80 db a5 be 80 db a5 03 09 3d e8 b3 8c bc c0 03 90 be b9 bb 67 3f 6c b4 c7 3a 24 a6 e2 b9 2c dc d9 3a 35 09 4b ba 36 60 06 b9 97 0c 56 ba 45 64 fa 3a 24 a3 43 b9 2c e9 d4 3a 35 0d e8 b9 21 08 4f 3a 15 34 7b 3a 44 c1 43 b7 88 21 00 36 fb 78 a0 b8 29 c8 d0 3d e8 d1 3e bc bf f5 50 be b9 bf a0 3f 6c b3 81 01 42 3e e0 15 42 82 60 e2 c2 be 36 a6 c2 8f fd 5c 39 95 d7 8a bb 33 ad a3 39 8c d4 e4 bc 13 2b 99 bb e7 7e 0e 3c 03 f2 01 3c 0d c9 34 3c 08 d1 0a 3c 02 a7 a8 bb df d2 40 bc 1d ba cc be 1e cb 40 be 01 50 40 3c ff ab a0 3f 4c 4d 3c 3e 34 0d 73 00 00 18 c7 ff ff e7 39 bc 15 60 9f 3b c1 df 61 bc 6a 35 71 7e fe "
41268,"3f51","0153",16209,608,"10 03 19 00 0d 88 80 d7 cc cd 00 00 00 76 f5 12 2f 0d 88 80 d6 35 c9 be 00 00 00 00 ff ff ff ff 03 ec 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 01 00 11 11 00 00 ff 39 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f5 00 2f 0d 88 80 d5 36 04 b3 08 3a 07 be 07 c0 05 ce 05 ce 07 5a 07 5b 08 54 08 56 07 56 07 cd 08 49 08 94 07 f3 07 be 06 16 06 13 00 00 00 00 00 00 00 00 0c 0c 3c 17 04 80 00 00 00 00 a1 83 f5 01 2f 0d 88 80 d5 36 3f a8 07 bf 05 ce 07 5a 07 56 07 f3 03 5c 05 5b 06 f3 06 f3 03 5c 04 29 06 27 07 bf 07 bf 04 29 08 58 07 ca 03 c3 03 c3 09 58 09 58 06 14 00 00 00 00 00 00 00 00 1b b8 f5 02 2f 0d 88 80 d5 36 7a 9d 01 bc 00 cf 0b be 01 44 06 73 08 c6 08 d3 09 19 00 2a 0b cc 00 29 04 69 00 01 00 00 05 4d 04 cf 04 22 03 76 05 15 02 89 06 62 02 75 00 00 00 00 00 00 00 00 45 4a f5 03 2f 0d 88 80 d6 35 2c 86 01 00 00 03 00 00 0a b1 0a ae 0a 41 00 00 00 00 0d 80 00 00 00 00 00 04 39 d5 00 04 39 cb 00 ff 00 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6f 05 f5 10 2f 0d 88 80 d6 35 67 7b 01 09 00 00 00 00 00 00 00 00 f0 00 01 06 ad 00 01 00 7f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 56 00 1d 00 00 00 00 61 a7 80 ba 00 00 02 80 0c 00 00 19 3b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 f5 11 2f 0d 88 80 d6 35 95 56 00 00 00 30 00 00 00 00 00 00 00 30 00 00 00 00 00 64 20 00 00 00 13 00 00 16 01 ea 03 ea 00 00 02 10 a4 19 90 23 00 00 23 82 00 dd 00 dd 00 00 00 00 00 00 e5 56 44 8b 5e 52 44 8b 97 39 44 85 e2 b5 44 85 e2 b5 f2 f9 "
41882,"304b","0053",12363,112,"10 03 19 00 0d 88 80 d7 e6 66 00 00 00 2a 10 07 00 00 00 3a 00 e7 0a 0b e3 26 31 00 02 20 00 00 00 00 00 00 00 00 00 43 54 4f 46 bf 46 cf 46 c1 c0 00 01 be f6 50 10 07 00 50 00 7a 40 e7 0a 0b 44 02 2c 00 02 08 00 00 00 00 00 00 00 00 38 6c 58 5d 46 a2 dc c1 46 9a bb b4 01 a8 06 4f f6 50 46 cf 24 92 f6 50 ff 16 46 9b 89 4d f9 5b de d3 "
47951,"34f1","0018",13553,133,"10 03 1a 00 0d 88 80 da 00 00 00 00 00 81 12 11 00 11 03 4d d3 76 00 b3 18 90 00 ed 00 cb 00 f7 00 02 00 00 10 ee 00 00 00 ed 00 fc 00 9c 00 fa 00 07 00 58 00 e7 00 7f 00 fd 00 01 01 10 00 00 24 c0 00 00 00 00 00 00 a5 a5 a5 a5 a5 a5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 11 06 09 85 eb 90 00 00 00 00 00 00 00 00 00 01 03 4d d3 76 d2 46 "
50183,"34cb","00b3",13515,283,"10 03 19 00 0d 88 80 da cc cd 00 00 00 ab 02 00 01 3f 07 ce 7e bf 44 45 9f be b9 25 c0 3f 64 f3 3c be cb 46 d4 be 53 2f c5 fc f4 f8 2f fd 86 00 3d e6 b7 e0 bc c0 46 71 be b9 4c 8d 3f 6c d2 27 01 bf 33 fb 6d 3f 30 5a 20 3e 34 c5 72 3a 20 79 23 b9 26 6a a4 3a 2a 57 bd bf 77 cf 72 3e 80 77 ef 34 70 00 00 01 0d 8c 1e 00 f0 be 0d 88 82 28 19 55 0d 8c 1e 00 f0 be 0d 88 97 ae 68 83 01 41 65 75 ae 4f 3f 3b b2 40 b6 b2 4c cc cc dc 4a 01 b3 68 09 97 b3 4c f6 0a 33 93 a3 b6 38 17 cd 5d b6 23 18 ba b8 1f b5 8d bf 0c 56 80 be c9 8b 66 bd 1a 4b 80 03 03 03 03 37 f2 99 85 3a 8b ee 4f 3a db e2 43 ba 12 90 8c 00 35 6d 70 80 b7 2e ff b0 37 1b 27 60 3b 72 7e 18 00 00 00 06 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 06 00 00 00 06 3e 21 a2 00 bd 86 68 00 be 31 52 00 3d c1 f4 00 40 97 81 35 0f 91 98 66 a3 11 "
50472,"30f8","00c3",12536,110,"10 03 19 00 0d 88 80 da cc cd 00 00 00 9f b8 a0 d0 00 bf f7 71 67 00 00 16 00 0b 01 00 01 34 b0 00 00 9b 5c 00 00 02 2f 00 00 99 85 00 00 05 00 02 ff fe ff ff ff ff e7 08 45 92 a6 bf 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3f 80 00 00 ff ff fe ad 97 eb "
50588,"346c","0193",13420,160,"10 03 19 00 0d 88 80 da cc cd 00 00 00 77 7c 6e a1 2c 00 02 7c e7 95 29 9d 78 0d 88 80 d1 19 99 0e 87 0f 2d 0f 47 10 3b 10 ae 10 93 10 1f 0d 92 0e b9 0f 70 10 d2 0d cf 18 cf 10 9a 07 8d 1d c6 03 fc 00 00 00 1e 95 29 9d 78 00 05 b3 84 7c 6e a1 2c 00 03 7c e7 95 29 9d 78 f0 f0 f0 f0 f0 f0 0e 4a 20 00 00 00 00 00 00 00 00 1d 00 26 00 40 00 5b 04 47 02 00 1e 20 ee cc 67 ef 01 00 05 06 ee cc 54 67 06 0e 4a 5e ee cc 40 df 13 8f 44 76 94 a4 44 76 6e b5 44 75 65 29 44 75 65 29 06 ee "
51298,"329b","0023",12955,412,"10 03 19 00 0d 88 80 da e6 66 00 00 00 13 04 00 01 01 0d 88 80 da e6 66 ff ff ff ff ff ff 00 00 01 00 00 00 01 00 5c 00 98 02 5c 02 98 04 5c 04 80 06 5c 06 80 08 64 08 80 0a 64 0a a0 0a e0 0b 20 0c 64 0c 80 0e 5c 0e 98 10 5c 10 98 12 44 12 80 14 44 14 80 16 44 16 80 18 44 18 80 1a 44 1a 80 1c 44 1c 80 1e 44 1e 80 20 44 20 80 22 44 22 80 24 44 24 80 26 5c 26 98 28 5c 28 98 2a 58 2a 9c 2c 5c 2c 98 2e 5c 2e 98 30 5c 30 80 32 5c 32 80 34 5c 34 80 36 44 36 80 38 5c 38 80 3a 40 3a 9c 3c 58 3c 9c 3e 40 3e 9c 40 5c 40 80 42 5c 42 80 44 5c 44 80 46 5c 46 80 48 5c 48 80 4a 5c 4a 80 4c 5c 4c 80 4e 5c 4e 80 50 5c 50 80 52 5c 52 80 54 5c 54 80 56 5c 56 80 58 5c 58 80 5a 5c 5a 80 5c 5c 5c 80 5e 5c 5e 80 60 5c 60 80 62 5c 62 80 64 5c 64 80 66 5c 66 80 68 5c 68 80 6a 44 6c 44 6e 44 70 44 72 44 74 44 76 44 78 44 7a 44 7c 5c 7c 80 7e 44 7e 80 80 54 80 80 82 5c 84 40 84 9c 86 5c 88 5c 01 00 01 00 48 01 01 01 01 01 01 01 01 01 01 01 01 01 00 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00 00 59 7a "
